	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2000"	"2000"	"New Mexico"	"35"	13425	1819046	738.02
	"2000"	"2000"	"New York"	"36"	158203	18976457	833.68
	"2000"	"2000"	"North Carolina"	"37"	71935	8049313	893.68
	"2000"	"2000"	"North Dakota"	"38"	5856	642200	911.87
	"2000"	"2000"	"Ohio"	"39"	108125	11353140	952.38
	"2000"	"2000"	"Oklahoma"	"40"	35079	3450654	1016.59
	"2000"	"2000"	"Oregon"	"41"	29552	3421399	863.74
	"2000"	"2000"	"Pennsylvania"	"42"	130813	12281054	1065.16
	"2000"	"2000"	"Rhode Island"	"44"	10027	1048319	956.48
	"2000"	"2000"	"South Carolina"	"45"	36948	4012012	920.93
	"2000"	"2000"	"South Dakota"	"46"	7021	754844	930.13
	"2000"	"2000"	"Tennessee"	"47"	55246	5689283	971.05
	"2000"	"2000"	"Texas"	"48"	149939	20851820	719.07
	"2000"	"2000"	"Utah"	"49"	12364	2233169	553.65
	"2000"	"2000"	"Vermont"	"50"	5127	608827	842.11
	"2000"	"2000"	"Virginia"	"51"	56282	7078515	795.11
	"2000"	"2000"	"Washington"	"53"	43941	5894121	745.51
	"2000"	"2000"	"West Virginia"	"54"	21114	1808344	1167.59
	"2000"	"2000"	"Wisconsin"	"55"	46461	5363675	866.22
	"2000"	"2000"	"Wyoming"	"56"	3920	493782	793.87
	"2001"	"2001"	"Alabama"	"01"	45316	4467634	1014.32
	"2001"	"2001"	"Alaska"	"02"	2974	633714	469.30
	"2001"	"2001"	"Arizona"	"04"	41058	5273477	778.58
	"2001"	"2001"	"Arkansas"	"05"	27759	2691571	1031.33
	"2001"	"2001"	"California"	"06"	234044	34479458	678.79
	"2001"	"2001"	"Colorado"	"08"	28294	4425687	639.31
	"2001"	"2001"	"Connecticut"	"09"	29827	3432835	868.87
	"2001"	"2001"	"Delaware"	"10"	7112	795699	893.81
	"2001"	"2001"	"District of Columbia"	"11"	5951	574504	1035.85
	"2001"	"2001"	"Florida"	"12"	167269	16356966	1022.62
	"2001"	"2001"	"Georgia"	"13"	64485	8377038	769.78
	"2001"	"2001"	"Hawaii"	"15"	8394	1225948	684.69
	"2001"	"2001"	"Idaho"	"16"	9753	1319962	738.88
	"2001"	"2001"	"Illinois"	"17"	105430	12488445	844.22
	"2001"	"2001"	"Indiana"	"18"	55198	6127760	900.79
	"2001"	"2001"	"Iowa"	"19"	27791	2931997	947.85
	"2001"	"2001"	"Kansas"	"20"	24647	2702162	912.12
	"2001"	"2001"	"Kentucky"	"21"	39861	4068132	979.84
	"2001"	"2001"	"Louisiana"	"22"	41757	4477875	932.52
	"2001"	"2001"	"Maine"	"23"	12421	1285692	966.09
	"2001"	"2001"	"Maryland"	"24"	43839	5374691	815.66
	"2001"	"2001"	"Massachusetts"	"25"	56754	6397634	887.11
	"2001"	"2001"	"Michigan"	"26"	86424	9991120	865.01
	"2001"	"2001"	"Minnesota"	"27"	37735	4982796	757.31
	"2001"	"2001"	"Mississippi"	"28"	28259	2852994	990.50
	"2001"	"2001"	"Missouri"	"29"	54982	5641142	974.66
	"2001"	"2001"	"Montana"	"30"	8265	906961	911.29
	"2001"	"2001"	"Nebraska"	"31"	15174	1719836	882.29
	"2001"	"2001"	"Nevada"	"32"	16285	2098399	776.07
	"2001"	"2001"	"New Hampshire"	"33"	9815	1255517	781.75
	"2001"	"2001"	"New Jersey"	"34"	74710	8492671	879.70
	"2001"	"2001"	"New Mexico"	"35"	14129	1831690	771.36
	"2001"	"2001"	"New York"	"36"	159240	19082838	834.47
	"2001"	"2001"	"North Carolina"	"37"	70934	8210122	863.98
	"2001"	"2001"	"North Dakota"	"38"	6048	639062	946.39
	"2001"	"2001"	"Ohio"	"39"	108027	11387404	948.65
	"2001"	"2001"	"Oklahoma"	"40"	34682	3467100	1000.32
	"2001"	"2001"	"Oregon"	"41"	30158	3467937	869.62
	"2001"	"2001"	"Pennsylvania"	"42"	129729	12298970	1054.80
	"2001"	"2001"	"Rhode Island"	"44"	10021	1057142	947.93
	"2001"	"2001"	"South Carolina"	"45"	36612	4064995	900.67
	"2001"	"2001"	"South Dakota"	"46"	6923	757972	913.36
	"2001"	"2001"	"Tennessee"	"47"	55151	5750789	959.02
	"2001"	"2001"	"Texas"	"48"	152779	21319622	716.61
	"2001"	"2001"	"Utah"	"49"	12662	2283715	554.45
	"2001"	"2001"	"Vermont"	"50"	5201	612223	849.53
	"2001"	"2001"	"Virginia"	"51"	56280	7198362	781.84
	"2001"	"2001"	"Washington"	"53"	44642	5985722	745.81
	"2001"	"2001"	"West Virginia"	"54"	20967	1801481	1163.88
	"2001"	"2001"	"Wisconsin"	"55"	46628	5406835	862.39
	"2001"	"2001"	"Wyoming"	"56"	4029	494657	814.50
	"2002"	"2002"	"Alabama"	"01"	46069	4480089	1028.31
	"2002"	"2002"	"Alaska"	"02"	3030	642337	471.72
	"2002"	"2002"	"Arizona"	"04"	42816	5396255	793.44
	"2002"	"2002"	"Arkansas"	"05"	28513	2705927	1053.72
	"2002"	"2002"	"California"	"06"	234565	34871843	672.65
	"2002"	"2002"	"Colorado"	"08"	29210	4490406	650.50
	"2002"	"2002"	"Connecticut"	"09"	30122	3458749	870.89
	"2002"	"2002"	"Delaware"	"10"	6861	806169	851.06
	"2002"	"2002"	"District of Columbia"	"11"	5851	573158	1020.84
	"2002"	"2002"	"Florida"	"12"	167814	16689370	1005.51
	"2002"	"2002"	"Georgia"	"13"	65449	8508256	769.24
	"2002"	"2002"	"Hawaii"	"15"	8801	1239613	709.98
	"2002"	"2002"	"Idaho"	"16"	9923	1340372	740.32
	"2002"	"2002"	"Illinois"	"17"	106667	12525556	851.59
	"2002"	"2002"	"Indiana"	"18"	55396	6155967	899.87
	"2002"	"2002"	"Iowa"	"19"	27978	2934234	953.50
	"2002"	"2002"	"Kansas"	"20"	25021	2713535	922.08
	"2002"	"2002"	"Kentucky"	"21"	40697	4089875	995.07
	"2002"	"2002"	"Louisiana"	"22"	41984	4497267	933.54
	"2002"	"2002"	"Maine"	"23"	12694	1295960	979.51
	"2002"	"2002"	"Maryland"	"24"	43970	5440389	808.21
	"2002"	"2002"	"Massachusetts"	"25"	56928	6417206	887.12
	"2002"	"2002"	"Michigan"	"26"	87795	10015710	876.57
	"2002"	"2002"	"Minnesota"	"27"	38510	5018935	767.29
	"2002"	"2002"	"Mississippi"	"28"	28853	2858681	1009.31
